"algorithm","localsearch","alpha","beta","rho","ants","q0","rasrank","elitistants","nnls","dlb","Elite"
3,2,4.13,3.36,0.6,39,0.84,NA,NA,48,2,FALSE
5,1,1.63,8.36,0.11,87,NA,NA,NA,NA,NA,FALSE
1,4,2.88,0.86,0.35,63,NA,NA,NA,14,1,TRUE
2,3,0.38,5.86,0.85,15,NA,53,NA,37,2,FALSE
3,1,3.5,4.61,0.72,27,0.46,NA,NA,NA,NA,FALSE
4,2,1,9.61,0.23,75,NA,NA,584,31,2,FALSE
5,3,4.75,2.11,0.48,99,NA,NA,NA,43,2,FALSE
2,4,2.25,7.11,0.97,51,NA,16,NA,20,1,FALSE
2,1,4.44,8.98,0.29,33,NA,47,NA,NA,NA,FALSE
1,2,1.94,3.98,0.79,81,NA,NA,NA,22,2,FALSE
4,3,3.19,6.48,0.54,57,NA,NA,443,11,2,FALSE
3,4,0.69,1.48,0.04,9,0.65,NA,NA,34,1,FALSE
5,4,3.81,5.23,0.66,93,NA,NA,NA,40,1,FALSE
3,3,1.31,0.23,0.17,45,0.02,NA,NA,17,2,FALSE
1,1,0.06,2.73,0.91,69,NA,NA,NA,NA,NA,FALSE
4,2,2.56,7.73,0.42,21,NA,NA,724,5,2,FALSE
3,3,4.55,4.84,0.78,89,0.14,NA,NA,26,1,FALSE
5,4,2.05,9.84,0.28,41,NA,NA,NA,49,2,FALSE
1,1,3.3,2.34,0.04,17,NA,NA,NA,NA,NA,FALSE
4,2,0.8,7.34,0.53,65,NA,NA,144,14,1,FALSE
4,3,0.18,8.59,0.41,5,NA,NA,238,8,1,FALSE
3,4,2.68,3.59,0.9,53,0.52,NA,NA,31,2,TRUE
2,1,1.43,6.09,0.66,77,NA,60,NA,NA,NA,FALSE
1,2,3.93,1.09,0.16,29,NA,NA,NA,20,1,FALSE
4,3,3.62,9.22,0.22,59,NA,NA,285,29,1,FALSE
1,4,1.12,4.22,0.72,11,NA,NA,NA,6,2,FALSE
2,2,2.37,1.72,0.47,83,NA,17,NA,40,1,FALSE
5,1,4.87,6.72,0.96,35,NA,NA,NA,NA,NA,FALSE
2,4,4.24,7.97,0.1,95,NA,79,NA,23,2,FALSE
1,3,1.74,2.97,0.59,47,NA,NA,NA,46,1,FALSE
3,1,0.49,0.47,0.35,71,0.33,NA,NA,NA,NA,FALSE
5,2,2.99,5.47,0.84,23,NA,NA,NA,34,1,FALSE
1,3,4.09,5.78,0.31,86,NA,NA,NA,33,2,FALSE
4,4,1.59,0.78,0.81,38,NA,NA,214,10,1,FALSE
5,2,0.34,3.28,0.07,62,NA,NA,NA,44,2,FALSE
2,1,2.84,8.28,0.56,14,NA,64,NA,NA,NA,FALSE
3,2,4.71,9.53,0.69,50,0.05,NA,NA,39,2,FALSE
4,1,2.21,4.53,0.19,98,NA,NA,121,NA,NA,FALSE
1,4,3.46,7.03,0.44,74,NA,NA,NA,27,1,FALSE
2,3,0.96,2.03,0.93,26,NA,26,NA,50,2,FALSE
2,2,3.15,3.9,0.38,8,NA,7,NA,18,2,FALSE
5,1,0.65,8.9,0.87,56,NA,NA,NA,NA,NA,FALSE
4,4,4.4,1.4,0.62,80,NA,NA,355,30,1,FALSE
3,4,2.68,3.59,0.9,53,0.52,NA,NA,31,2,TRUE
3,4,4.67,0.08,0.4,16,0.88,NA,NA,29,1,TRUE
2,4,3.73,5.7,0.59,46,NA,33,NA,26,1,TRUE
1,4,2.88,0.86,0.35,63,NA,NA,NA,14,1,TRUE
1,4,2.74,6.09,0.58,85,NA,NA,NA,46,2,FALSE
2,4,1.4,8.81,0.52,73,NA,8,NA,21,1,FALSE
3,1,3.86,1.85,0.39,65,0.91,NA,NA,NA,NA,FALSE
4,2,2.45,2.31,0.91,85,NA,NA,324,34,1,FALSE
4,3,4.18,1.82,0.74,78,NA,NA,134,10,1,FALSE
1,4,4.61,1.89,0.45,65,NA,NA,NA,29,2,FALSE
4,4,3.65,2.82,0.65,49,NA,NA,538,41,2,FALSE
3,4,1.88,2.77,0.91,26,0.7,NA,NA,43,1,FALSE
5,4,2.13,2.25,0.02,15,NA,NA,NA,19,1,FALSE
3,1,4.09,0.37,0.6,47,0.52,NA,NA,NA,NA,FALSE
3,4,1.51,1.73,0.87,81,0.53,NA,NA,41,2,FALSE
3,1,3.63,4.64,0.69,8,0.46,NA,NA,NA,NA,FALSE
5,2,3.76,1.85,0.42,86,NA,NA,NA,39,2,FALSE
2,4,3.74,5.11,0.54,50,NA,69,NA,15,1,FALSE
3,4,2.36,1.2,0.82,52,0.71,NA,NA,11,2,TRUE
1,3,4.57,2.79,0.36,95,NA,NA,NA,16,1,FALSE
4,4,1.79,0.66,0.79,24,NA,NA,21,36,2,FALSE
2,1,3.91,4.57,0.87,30,NA,26,NA,NA,NA,FALSE
5,4,3.09,5.98,0.36,10,NA,NA,NA,50,1,FALSE
5,2,4.99,5.65,0.14,43,NA,NA,NA,6,1,FALSE
5,2,2.25,0.7,0.38,28,NA,NA,NA,11,2,FALSE
2,2,4.93,3.08,0.32,45,NA,31,NA,31,1,FALSE
5,2,3.62,2.37,0.21,20,NA,NA,NA,26,1,FALSE
5,1,4.6,2.7,0.68,16,NA,NA,NA,NA,NA,FALSE
3,1,4.17,8.36,0.85,93,0.63,NA,NA,NA,NA,FALSE
2,1,3.09,4.35,0.75,12,NA,65,NA,NA,NA,FALSE
3,4,1.38,5.41,0.93,8,0.92,NA,NA,33,1,TRUE
5,4,2.8,1.59,0.15,42,NA,NA,NA,7,2,FALSE
3,2,4.3,5.43,0.86,64,0.26,NA,NA,10,2,FALSE
2,3,3.02,6.28,0.43,75,NA,3,NA,38,2,FALSE
1,2,4.81,4.03,0.81,57,NA,NA,NA,24,1,FALSE
5,4,0.04,5.98,0.49,54,NA,NA,NA,8,2,FALSE
3,4,3.71,0.32,0.57,67,0.35,NA,NA,47,1,FALSE
2,4,1.63,6.04,0.87,8,NA,26,NA,46,2,FALSE
5,3,4.01,5.69,0.59,58,NA,NA,NA,33,2,FALSE
2,4,2.19,2.74,0.5,50,NA,74,NA,20,1,FALSE
4,2,1.23,5.31,0.28,37,NA,NA,121,35,1,FALSE
1,3,4.72,5.01,0.87,68,NA,NA,NA,40,1,FALSE
2,2,4.9,9.65,0.3,17,NA,25,NA,32,2,FALSE
5,1,4.14,3.37,0.7,56,NA,NA,NA,NA,NA,FALSE
3,2,3.03,6.27,0.6,86,0.49,NA,NA,10,1,FALSE
5,2,3.7,2.75,0.07,67,NA,NA,NA,40,1,FALSE
3,3,4.78,5.81,0.72,6,0.83,NA,NA,36,1,FALSE
2,2,3.92,5.34,0.07,70,NA,28,NA,7,2,FALSE
3,1,5,2.04,0.27,43,0.34,NA,NA,NA,NA,FALSE
3,4,3.01,2.86,0.68,18,0.71,NA,NA,5,2,FALSE
1,4,4.73,0.4,0.71,51,NA,NA,NA,44,1,FALSE
2,2,3.58,8.27,0.62,57,NA,82,NA,17,1,FALSE
4,4,2.81,5.45,0.41,43,NA,NA,330,24,1,FALSE
3,4,2.05,2.23,0.64,49,0.42,NA,NA,20,1,TRUE
2,4,3.17,1.53,0.98,84,NA,30,NA,17,2,FALSE
1,4,3.31,3.16,0.53,31,NA,NA,NA,31,1,FALSE
3,3,4.4,3.03,0.79,29,0.71,NA,NA,26,1,FALSE
1,4,1.38,2.35,0.55,74,NA,NA,NA,8,1,FALSE
2,2,1.33,4.87,0.56,58,NA,9,NA,36,2,FALSE
4,3,3.67,1.55,0.06,16,NA,NA,584,14,1,FALSE
2,1,1.23,4.94,0.97,39,NA,66,NA,NA,NA,FALSE
1,1,2.85,5.03,0.47,77,NA,NA,NA,NA,NA,FALSE
4,4,4.74,1.58,0.17,34,NA,NA,14,30,1,FALSE
1,3,3.91,2.8,0.05,61,NA,NA,NA,19,1,FALSE
3,4,1.17,3.63,0.34,40,0.79,NA,NA,34,1,FALSE
1,1,2.7,4.76,0.04,33,NA,NA,NA,NA,NA,FALSE
5,2,1.29,5.27,0.39,26,NA,NA,NA,39,2,FALSE
2,2,3.7,6.84,0.65,35,NA,16,NA,24,2,FALSE
3,1,2.31,8.06,0.46,41,0.6,NA,NA,NA,NA,FALSE
2,3,3.52,7.52,0.63,42,NA,18,NA,25,1,FALSE
2,2,4.34,9.33,0.91,61,NA,37,NA,15,1,FALSE
2,3,3.74,0.77,0.81,25,NA,95,NA,42,2,FALSE
3,1,3.7,2.67,0.74,50,0.69,NA,NA,NA,NA,FALSE
3,4,4.22,4.32,0.6,81,0.25,NA,NA,32,1,FALSE
2,4,4.79,3.79,0.24,68,NA,4,NA,14,1,FALSE
3,2,3.72,4.18,0.48,15,0.99,NA,NA,28,1,FALSE
3,3,2.3,1.58,0.34,14,0.63,NA,NA,19,1,FALSE
4,3,3.49,0.62,0.52,10,NA,NA,324,19,1,FALSE
5,2,3.96,4.82,0.36,44,NA,NA,NA,20,2,FALSE
3,4,2.76,3.94,0.29,57,0.59,NA,NA,34,1,TRUE
4,1,2.02,0.14,0.6,58,NA,NA,615,NA,NA,FALSE
2,4,0.14,3.15,0.68,28,NA,44,NA,28,2,FALSE
2,1,2.54,5.93,0.85,53,NA,98,NA,NA,NA,FALSE
4,2,2.18,6.57,0.98,19,NA,NA,552,19,2,FALSE
3,4,2.05,2.23,0.64,49,0.42,NA,NA,20,1,TRUE
3,4,2.76,3.94,0.29,57,0.59,NA,NA,34,1,TRUE
3,4,2.36,1.2,0.82,52,0.71,NA,NA,11,2,TRUE
3,4,1.38,5.41,0.93,8,0.92,NA,NA,33,1,TRUE
3,4,2.68,3.59,0.9,53,0.52,NA,NA,31,2,TRUE
4,2,2.9,4.32,0.08,96,NA,NA,224,34,1,FALSE
3,4,1.79,9.51,0.28,31,0.63,NA,NA,37,1,FALSE
5,4,3.15,0.62,0.5,41,NA,NA,NA,11,1,FALSE
3,4,1.95,3.87,0.81,48,0.75,NA,NA,16,2,TRUE
3,3,1.22,0.26,0.35,32,0.42,NA,NA,10,1,FALSE
3,4,5,3.27,0.33,26,0.79,NA,NA,25,1,FALSE
3,4,2.6,4.84,0.56,38,0.32,NA,NA,8,2,FALSE
3,4,4.07,6.14,0.81,54,0.31,NA,NA,26,2,FALSE
3,4,1.95,1.14,0.75,65,0.75,NA,NA,18,2,FALSE
3,4,2.04,6.42,0.75,96,0.16,NA,NA,22,2,FALSE
4,2,2.39,2.09,0.33,64,NA,NA,591,23,1,FALSE
3,4,0.65,1.64,0.56,45,0.35,NA,NA,34,1,FALSE
2,4,2.98,5.14,0.98,58,NA,56,NA,29,2,FALSE
3,2,3.14,5.64,0.52,61,0.12,NA,NA,13,1,FALSE
4,4,2.1,6.17,0.13,56,NA,NA,678,48,1,FALSE
5,3,1.28,2.96,0.78,65,NA,NA,NA,16,2,FALSE
1,1,1.38,3.42,0.56,62,NA,NA,NA,NA,NA,FALSE
2,4,3.78,7.31,0.93,58,NA,53,NA,17,1,FALSE
3,3,0.91,3.81,0.18,30,0.85,NA,NA,37,1,FALSE
3,4,0.82,1.15,0.52,59,0.71,NA,NA,19,1,FALSE
3,4,2.39,4.71,1,52,0.52,NA,NA,26,2,FALSE
3,1,3.07,5.65,0.63,45,0.54,NA,NA,NA,NA,FALSE
3,4,1.6,2.6,0.64,51,0.79,NA,NA,17,2,FALSE
1,1,2.12,3.03,0.41,44,NA,NA,NA,NA,NA,FALSE
3,2,2.85,1.1,0.46,49,0.09,NA,NA,30,1,FALSE
3,4,2.35,1.58,0.98,67,0.45,NA,NA,18,2,FALSE
3,4,4.49,1.38,0.67,71,0.39,NA,NA,41,2,FALSE
3,4,4.04,5.12,0.76,38,0.81,NA,NA,5,1,FALSE
2,4,1.55,2.36,0.36,81,NA,82,NA,35,2,FALSE
3,2,1.13,0.63,0.68,51,0.65,NA,NA,20,1,FALSE
3,4,1.47,5.24,0.06,60,0.23,NA,NA,34,1,FALSE
3,3,1.63,4.23,0.73,35,0.55,NA,NA,47,2,FALSE
1,2,2.91,2.94,0.75,72,NA,NA,NA,44,1,FALSE
4,3,0.1,1.68,0.72,8,NA,NA,84,19,1,FALSE
3,2,2.14,6.46,0.37,74,0.25,NA,NA,16,2,FALSE
3,3,0.67,3.07,0.83,35,0.9,NA,NA,6,2,FALSE
5,3,0.24,7.23,0.27,43,NA,NA,NA,26,2,FALSE
3,4,2.38,3.53,0.53,61,0.17,NA,NA,32,1,FALSE
4,4,2.34,7.32,0.93,13,NA,NA,207,36,1,FALSE
3,1,2.49,1.01,0.86,65,0.27,NA,NA,NA,NA,FALSE
3,3,1.22,0.25,0.61,33,0.9,NA,NA,27,1,FALSE
5,2,4.16,2.91,0.66,6,NA,NA,NA,46,1,FALSE
2,4,4.97,6.22,0.35,61,NA,64,NA,35,1,FALSE
3,3,1.22,8.43,0.16,9,0.1,NA,NA,35,2,FALSE
3,4,2.37,0.68,0.87,42,0.45,NA,NA,22,1,TRUE
1,4,2.31,4.8,0.79,76,NA,NA,NA,8,2,FALSE
2,4,2.24,4.4,0.86,23,NA,25,NA,27,1,FALSE
3,4,3.7,5.63,0.51,26,0.85,NA,NA,44,1,FALSE
2,4,1.32,3.26,0.93,77,NA,34,NA,15,2,FALSE
3,2,2.58,0.61,0.77,68,0.75,NA,NA,15,2,FALSE
3,4,4.37,6,0.38,50,0.41,NA,NA,17,1,TRUE
3,2,2.66,3.17,0.54,42,0.43,NA,NA,11,2,FALSE
3,3,1.18,0.04,0.85,12,0.91,NA,NA,47,1,FALSE
3,1,2.17,0.42,0.95,50,0.71,NA,NA,NA,NA,FALSE
3,4,4.05,4.6,0.57,76,0.39,NA,NA,31,2,FALSE
3,4,2.66,3.88,0.71,39,0.39,NA,NA,26,2,FALSE
3,4,2.92,2.64,0.48,52,0.44,NA,NA,17,2,FALSE
2,4,1.85,3.26,0.69,51,NA,79,NA,17,2,FALSE
4,4,4.08,3.88,0.74,11,NA,NA,201,30,2,FALSE
3,2,2.7,4.79,0.41,54,0.35,NA,NA,39,2,FALSE
5,4,2.03,0,0.78,66,NA,NA,NA,25,2,FALSE
1,4,1.78,2.87,0.57,18,NA,NA,NA,11,2,FALSE
2,4,2.32,3.59,0.7,74,NA,9,NA,19,2,FALSE
2,4,2.35,3.88,0.39,73,NA,64,NA,32,1,FALSE
3,3,4.71,2.77,0.93,33,0.49,NA,NA,25,1,FALSE
3,4,3.61,0.15,0.4,7,0.48,NA,NA,20,2,FALSE
3,4,3.77,2.51,0.31,29,0.36,NA,NA,16,2,FALSE
3,4,4.83,6.28,0.88,60,0.6,NA,NA,36,2,FALSE
3,4,2.37,0.68,0.87,42,0.45,NA,NA,22,1,TRUE
3,4,2.05,2.23,0.64,49,0.42,NA,NA,20,1,TRUE
3,4,4.37,6,0.38,50,0.41,NA,NA,17,1,TRUE
3,4,1.95,3.87,0.81,48,0.75,NA,NA,16,2,TRUE
3,4,2.78,2.84,0.68,65,0.69,NA,NA,10,2,FALSE
3,4,2.7,1.76,0.69,43,0.49,NA,NA,11,1,FALSE
2,1,3.56,4.55,0.25,38,NA,5,NA,NA,NA,FALSE
3,4,2.37,0.81,0.82,40,0.43,NA,NA,16,1,FALSE
3,4,2.38,0.82,0.62,39,0.19,NA,NA,17,2,FALSE
3,4,4.66,7.94,0.25,37,0.59,NA,NA,7,1,FALSE
3,3,4.25,7.97,0.48,32,0.65,NA,NA,24,1,FALSE
3,3,3.62,5.3,0.66,20,0.3,NA,NA,18,1,FALSE
5,4,3.56,0.46,0.49,61,NA,NA,NA,19,1,FALSE
3,4,4.16,1.96,0.98,50,0.33,NA,NA,23,1,FALSE
3,4,1.37,0.52,0.78,50,0.94,NA,NA,22,1,FALSE
3,4,2.8,0.31,0.62,23,0.36,NA,NA,22,1,FALSE
3,4,2.44,2.19,0.65,19,0.47,NA,NA,21,2,FALSE
3,4,4.87,5.1,0.59,41,0.17,NA,NA,15,1,FALSE
3,2,2.28,1.62,0.92,46,0.27,NA,NA,23,2,FALSE
3,3,2.35,0.58,0.9,42,0.25,NA,NA,14,1,FALSE
5,4,1.72,1.62,0.57,46,NA,NA,NA,11,1,FALSE
3,4,3.6,5.91,0.61,36,0.79,NA,NA,21,2,FALSE
3,4,0.32,1.18,0.75,36,0.17,NA,NA,34,1,FALSE
4,4,3.16,1.87,0.75,36,NA,NA,677,11,2,FALSE
3,4,2.27,1.39,0.63,55,0.55,NA,NA,16,2,FALSE
3,4,0.97,0.01,0.83,57,0.29,NA,NA,32,1,FALSE
3,2,2,0.86,0.94,37,0.64,NA,NA,18,1,FALSE
3,4,3.53,0.06,0.81,44,0.29,NA,NA,23,2,FALSE
3,4,2.99,0.83,0.76,51,0.51,NA,NA,18,2,FALSE
3,2,1.98,3,0.87,52,0.56,NA,NA,24,1,FALSE
3,4,1.3,1.36,0.68,36,0.36,NA,NA,29,1,FALSE
3,4,4.41,5.48,0.15,52,0.38,NA,NA,29,1,FALSE
3,4,2.74,0.53,0.95,34,0.52,NA,NA,9,1,FALSE
3,4,4.71,5.83,0.12,35,0.49,NA,NA,20,1,FALSE
1,4,1.55,0.46,0.62,53,NA,NA,NA,26,1,FALSE
3,4,1.8,4.2,0.72,68,0.74,NA,NA,11,2,FALSE
3,4,2.77,5.27,0.62,60,0.17,NA,NA,27,1,FALSE
3,4,2.35,4.03,0.73,24,0.37,NA,NA,27,1,FALSE
3,4,1.71,1.36,0.68,56,0.49,NA,NA,12,1,FALSE
1,4,2.27,2.68,0.46,49,NA,NA,NA,26,1,FALSE
3,4,0.63,2.83,0.56,50,0.37,NA,NA,19,2,FALSE
3,2,1.64,2.5,0.82,16,0.6,NA,NA,24,1,FALSE
3,1,1.48,1.29,0.75,46,0.36,NA,NA,NA,NA,FALSE
3,1,2.97,1.27,0.8,26,0.48,NA,NA,NA,NA,FALSE
3,2,2.33,4.73,0.91,44,0.25,NA,NA,22,1,FALSE
4,4,4.67,4.48,0.21,25,NA,NA,31,21,1,FALSE
3,4,4.89,5.6,0.31,44,0.48,NA,NA,27,1,FALSE
3,1,1.63,2.61,0.74,74,0.58,NA,NA,NA,NA,FALSE
3,4,4.5,5.63,0.34,30,0.55,NA,NA,27,1,FALSE
3,4,3.05,3.32,0.58,51,0.52,NA,NA,24,1,FALSE
3,4,2,1.94,0.83,59,0.68,NA,NA,13,2,FALSE
3,4,3.31,2.46,0.69,38,0.72,NA,NA,26,1,FALSE
3,3,2.7,5.41,0.72,59,0.71,NA,NA,19,1,FALSE
3,4,1.34,2.42,0.64,70,0.26,NA,NA,21,1,FALSE
3,4,1.89,2.89,0.66,30,0.24,NA,NA,23,1,FALSE
3,1,2.31,0.38,0.95,23,0.38,NA,NA,NA,NA,FALSE
3,2,4.38,5.83,0.53,41,0.55,NA,NA,13,1,FALSE
3,4,0.92,0.37,0.73,60,0.51,NA,NA,18,1,FALSE
4,2,4.66,6.33,0.31,34,NA,NA,660,25,1,FALSE
3,4,2.72,3.82,0.72,55,0.39,NA,NA,29,1,TRUE
3,4,1.12,1.27,0.85,36,0.67,NA,NA,11,1,FALSE
3,2,2.1,0.98,0.87,47,0.38,NA,NA,28,2,FALSE
4,4,1.96,1.13,0.49,57,NA,NA,128,26,1,FALSE
3,3,1.31,1.69,0.74,31,0.39,NA,NA,15,1,FALSE
3,4,4.63,6.32,0.23,57,0.67,NA,NA,9,1,TRUE
3,4,2.88,3.53,0.79,51,0.56,NA,NA,27,1,FALSE
3,4,3.43,4.92,0.3,35,0.67,NA,NA,13,2,FALSE
3,4,2.82,5.08,0.32,46,0.35,NA,NA,9,1,TRUE
3,4,2.8,0.81,0.94,51,0.5,NA,NA,25,1,FALSE
3,4,1.21,3.85,0.94,35,0.68,NA,NA,16,1,FALSE
3,4,2.85,2.61,0.67,35,0.29,NA,NA,19,1,FALSE
3,1,3.49,1.43,0.94,45,0.64,NA,NA,NA,NA,FALSE
3,4,1.73,0.45,0.97,42,0.53,NA,NA,17,1,TRUE
3,4,2.29,1.33,0.6,40,0.23,NA,NA,36,1,FALSE
3,4,3.17,0.82,0.94,34,0.71,NA,NA,16,1,FALSE
3,1,4.71,7.15,0.46,58,0.61,NA,NA,NA,NA,FALSE
3,4,1.94,2.79,0.52,35,0.18,NA,NA,16,1,FALSE
3,4,3.95,5.73,0.41,73,0.48,NA,NA,15,2,FALSE
3,4,4.63,6.32,0.23,57,0.67,NA,NA,9,1,TRUE
3,4,2.37,0.68,0.87,42,0.45,NA,NA,22,1,TRUE
3,4,2.82,5.08,0.32,46,0.35,NA,NA,9,1,TRUE
3,4,2.72,3.82,0.72,55,0.39,NA,NA,29,1,TRUE
3,4,1.73,0.45,0.97,42,0.53,NA,NA,17,1,TRUE
3,4,2.78,3.77,0.37,51,0.17,NA,NA,11,1,TRUE
3,4,1.87,0.3,0.84,47,0.48,NA,NA,24,1,FALSE
3,4,3.54,4.91,0.24,42,0.53,NA,NA,6,1,FALSE
3,4,4.91,7.96,0.26,60,0.94,NA,NA,8,1,FALSE
3,4,2.61,0.37,0.94,19,0.4,NA,NA,18,1,FALSE
3,4,2.49,2.54,0.97,50,0.5,NA,NA,20,1,FALSE
3,4,4.67,7.15,0.25,60,0.72,NA,NA,6,1,FALSE
3,4,3.04,6.03,0.34,47,0.25,NA,NA,11,1,FALSE
3,4,1.33,0.03,0.97,58,0.54,NA,NA,18,1,FALSE
3,4,2.37,0.82,0.87,43,0.43,NA,NA,18,1,FALSE
3,4,3.03,6.74,0.31,35,0.33,NA,NA,5,1,FALSE
3,4,4.69,7.98,0.33,67,0.57,NA,NA,11,1,TRUE
3,4,2.91,6.07,0.26,23,0.07,NA,NA,17,1,FALSE
3,4,3.11,4.32,0.49,49,0.43,NA,NA,9,1,FALSE
3,4,3.98,4.44,0.04,57,0.96,NA,NA,15,1,FALSE
3,4,4.38,4.8,0.47,60,0.75,NA,NA,7,1,FALSE
3,4,4.86,6.74,0.26,34,0.65,NA,NA,7,1,FALSE
3,4,1.72,1.5,0.83,27,0.51,NA,NA,24,1,FALSE
3,4,3.27,5.33,0.28,47,0.01,NA,NA,7,1,FALSE
3,4,3.47,5.09,0.27,27,0.37,NA,NA,12,1,FALSE
3,4,2.35,0.74,0.87,50,0.5,NA,NA,20,2,FALSE
3,4,2.56,0.37,0.83,51,0.34,NA,NA,19,1,FALSE
3,4,2.01,5.38,0.7,72,0.56,NA,NA,22,1,FALSE
3,4,3.97,0.31,0.69,68,0.45,NA,NA,10,1,FALSE
3,4,4.44,5.85,0.27,61,0.68,NA,NA,12,1,TRUE
3,4,2.51,3.57,0.9,58,0.46,NA,NA,19,1,FALSE
3,4,2.59,5.93,0.3,55,0.48,NA,NA,8,1,FALSE
3,4,4.94,6.61,0.18,56,0.62,NA,NA,10,1,FALSE
3,4,2.51,0.65,0.88,41,0.53,NA,NA,26,1,FALSE
3,4,4.52,5.7,0.36,53,0.52,NA,NA,5,1,FALSE
3,4,4.36,5.62,0.31,57,0.72,NA,NA,10,1,FALSE
3,4,2.52,2.34,0.77,23,0.62,NA,NA,23,1,FALSE
3,4,3.42,2.19,0.73,25,0.51,NA,NA,21,1,FALSE
3,4,4.71,5.66,0.15,43,0.67,NA,NA,16,1,FALSE
3,4,0.65,1.21,0.86,43,0.54,NA,NA,23,1,FALSE
3,1,2.6,6.61,0.38,34,0.23,NA,NA,NA,NA,FALSE
3,4,1.68,3.53,0.43,49,0.18,NA,NA,12,1,FALSE
3,4,2.32,1.95,0.71,36,0.32,NA,NA,21,1,FALSE
3,4,3.5,5.16,0.49,35,0.45,NA,NA,20,1,FALSE
1,4,4.96,6.37,0.12,53,NA,NA,NA,12,1,FALSE
3,4,3.45,3.62,0.44,39,0.5,NA,NA,8,1,FALSE
3,4,2.65,1.16,0.93,39,0.33,NA,NA,21,1,FALSE
3,2,3.27,5.21,0.43,46,0.51,NA,NA,12,1,FALSE
3,4,2.24,2.97,0.77,43,0.35,NA,NA,27,1,FALSE
3,4,4.26,6.03,0.22,55,0.56,NA,NA,12,1,FALSE
3,4,2.46,1.69,0.85,54,0.34,NA,NA,23,1,FALSE
3,4,2.3,0.04,0.94,54,0.45,NA,NA,24,1,FALSE
3,4,4.91,6.15,0.3,55,0.69,NA,NA,9,1,FALSE
3,4,1.95,2.72,0.89,58,0.54,NA,NA,24,1,FALSE
